location_prefix,count
龙城镇仲李村,596
黄淮市场西区,193
黄河路金色龙湾立华公寓,277
鹿邑县高集乡高集大街,105
鹿邑县马铺镇马南行政村马南,160
鹿邑县辛集镇辛兴办事处,124
鹿邑县观堂镇观堂集,152
鹿邑县紫气大道西段,184
鹿邑县紫气大道东段,106
鹿邑县真源大道南段,179
鹿邑县真源大道北段,217
鹿邑县栾台路中段,161
鹿邑县卫真路西段,143
鹿邑县卫真路东段,182
鹿邑县伯阳路东段,110
鹤壁市淇滨区贸易一区,104
鹤壁市淇滨区天泰市场,113
鹤壁市淇滨区,132
鲁山县马楼乡马楼街,154
鲁山县辛集乡辛集街,108
鲁山县辛集乡程村,115
鲁山县观音寺乡观音寺街,135
鲁山县董周乡董村街,110
鲁山县磙子营乡磙子营街,119
鲁山县瓦屋乡瓦屋街,136
鲁山县张良镇张良街,127
鲁山县张官营镇张官营街,122
鲁山县尧山镇尧山街,159
鲁山县墨子商场内环,113
鲁山县下汤镇老街村,183
鲁山县下汤镇新街村,194
魏都区解放路,108
魏都区北关社区,116
魏都区五一路,126
高新区后营村,103
高新区五金交电大世界,130
高平镇高平集,102
驿城区乐山路中段,394
驻马店市驿城区顺河乡马庄村委,118
驻马店市驿城区贸易广场,147
驻马店市驿城区蚁蜂镇蚁蜂街,266
驻马店市驿城区浙江商贸城,346
驻马店市驿城区水屯镇水屯街,125
驻马店市驿城区富强路北段,173
驻马店市驿城区众信市场,435
驻马店市驿城区乐山路南段西刘庄市场,148
驻马店市金河,189
驻马店市金山,338
驻马店市泌阳县付庄乡开元路,2859
驻马店市正阳县铜钟镇铜钟街,174
驻马店市正阳县大林镇大林街,134
驻马店市开发区建业市场,116
驻马店市开发区关王庙乡,139
驻马店市开发区乐山路北段,106
马村乡龙马社区,131
项城市西大街,218
项城市范集街,103
项城市秣陵镇西大街,129
项城市建材大世界,111
项城市孙店东街,134
项城市南大街,132
项城市交通西路,104
项城市东大街,180
韭园镇湾赵街,103
青龙背街,110
陕州区西站商贸城,129
陕县西张村镇张村街,124
陈淋子镇街道,125
