location_prefix,count
龙跃河山,31
龙山区龙山路,31
龙山区太行路,38
龙山区向阳街,47
龙山区合鑫市场,37
龙山区东环路,57
龙安区大华金商都,42
龙安区商贸城,37
龙城镇十五里店村,47
龙城镇仲李村,596
龙城购物中心,48
龙亭区西门大街,33
齐街镇商业街,38
鼓楼新天地,54
鼓楼夜市南书店街路西,40
鼓楼夜市南书店街路东,33
鼓楼区鼓楼新天地,44
鼓楼区魏都路,67
鼓楼区迎宾路金阳光商业广场,54
鼓楼区迎宾路,31
鼓楼区西坡北街,33
鼓楼区卧龙街,39
鼓楼区五一路,35
鼓楼区中山路中段,55
黄淮市场西区,193
黄淮市场,75
黄河路金色龙湾立华公寓,277
黄河路西段,35
黄河路中段,42
黄河路东段,98
黄河路与长庆路西南角,93
黄口乡黄口街,31
黄冢乡王楼村,35
黄冢乡徐楼村,41
麒麟建材城,91
鹿邑县龙源圣地,50
鹿邑县鸣鹿路南段,42
鹿邑县鸣鹿路中段,88
鹿邑县高集乡高集大街,105
鹿邑县马铺镇马南行政村马南,160
鹿邑县顾家商业中心,41
鹿邑县金鹿商城,69
鹿邑县邱集乡武平城,60
鹿邑县辛集镇辛兴办事处,124
鹿邑县辛集镇,39
鹿邑县贾滩乡贾滩集,92
鹿邑县谷阳路西段,64
鹿邑县谷阳路中段,99
鹿邑县谷阳路东段,56
鹿邑县观堂镇观堂集,152
鹿邑县西城一街,34
鹿邑县芙蓉街,48
鹿邑县翰正小区,58
鹿邑县紫气大道西段,184
鹿邑县紫气大道明道城,55
鹿邑县紫气大道中段,37
鹿邑县紫气大道东段,106
鹿邑县真源大道南段,179
鹿邑县真源大道北段,217
鹿邑县真源大道中段,95
鹿邑县盛世佳苑小区,57
鹿邑县王皮溜镇王皮溜集,94
鹿邑县涡北镇义乌商贸城,64
鹿邑县汽贸城,60
鹿邑县武平路南段,72
鹿邑县武平路北段,82
鹿邑县武平路中段,68
鹿邑县栾台路南段,78
鹿邑县栾台路北段,77
鹿邑县栾台路中段,161
鹿邑县景苑名城小区,38
鹿邑县新天地,77
鹿邑县宋河镇宋河路西段路南,43
鹿邑县宋河镇宋河路西段路北,32
鹿邑县宋河镇宋河路东段路南,31
鹿邑县孟滩街,34
鹿邑县太清宫镇商贸城,56
鹿邑县太清宫镇叶庄,35
鹿邑县太清宫镇,43
鹿邑县商贸城,48
鹿邑县县府西街,41
鹿邑县县府东街,59
鹿邑县卫真路西段,143
鹿邑县卫真路中段,59
鹿邑县卫真路东段,182
鹿邑县博德路西段,31
鹿邑县博德路中段,69
鹿邑县博德路东段,95
鹿邑县伯阳路东段,110
鹿邑县仙台路西段,52
鹿邑县仙台路中段,48
鹿邑县中棉建材城,32
鹤壁市淇滨区黎阳路,73
鹤壁市淇滨区黄河路,54
鹤壁市淇滨区黄山路,45
鹤壁市淇滨区贸易二区,33
鹤壁市淇滨区贸易一区,104
鹤壁市淇滨区淮河路,56
鹤壁市淇滨区淇滨大道,54
鹤壁市淇滨区淇河路,83
鹤壁市淇滨区海河路,32
鹤壁市淇滨区太行路,92
鹤壁市淇滨区天泰建材市场,33
鹤壁市淇滨区天泰市场,113
鹤壁市淇滨区商业街西巷,38
鹤壁市淇滨区卫河路,65
鹤壁市淇滨区华山路,94
鹤壁市淇滨区兴鹤大街,53
鹤壁市淇滨区九州路西段四季青农产品批发市场,75
鹤壁市淇滨区九州路,33
鹤壁市淇滨区中凯小吃街,32
鹤壁市淇滨区,132
鹤壁市开发区城北大八角门面房,43
鹤壁市山城区长风路中段,63
鹤壁市山城区长风路,98
鹤壁市山城区石林镇西寺望台村,37
鹤壁市山城区石林镇时丰村,61
鹤壁市山城区石林镇北唐宋村,38
鹤壁市山城区泗河街,35
鹤壁市山城区朝霞街中段,37
鹤壁市山城区朝霞街,76
鹤壁市山城区朝阳街,83
鹤壁市山城区春雷路,80
鹤壁市山城区前进路,66
鲁山县鲁城商场,40
鲁山县马楼乡马楼街,154
鲁山县马楼乡马楼村,76
鲁山县马楼乡贾集村,51
鲁山县马楼乡楼西村,40
鲁山县马楼乡楼张市场,31
鲁山县顺城路中段路南,51
鲁山县顺城路中段路北,39
鲁山县顺城路东段路南,33
鲁山县辛集乡辛集街,108
鲁山县辛集乡辛集村,39
鲁山县辛集乡程村,115
鲁山县辛集乡程东村,49
鲁山县辛集乡徐营村,43
鲁山县辛集乡四岗,31
鲁山县赵村镇赵村街,55
鲁山县赵村镇中汤街,53
鲁山县赵村乡中汤街,55
鲁山县让河乡让河街南公路,35
鲁山县让河乡让河街,43
鲁山县观音寺乡观音寺街,135
鲁山县观音寺乡岳村,33
鲁山县董周乡董村街,110
鲁山县董周乡董村市场,47
鲁山县董周乡小集村,33
鲁山县董周乡周庄街,38
鲁山县董周乡八里村,34
鲁山县花园路南段路东,51
鲁山县花园路北段路西,32
鲁山县花园路中段路西,40
鲁山县花园路中段路东,42
鲁山县背孜乡背孜街,73
鲁山县老城大街东段路南,40
鲁山县老城大街东段路北,32
鲁山县磙子营乡磙子营街,119
鲁山县磙子营乡磙子营村,93
鲁山县瓦屋镇瓦屋街,74
鲁山县瓦屋乡瓦屋街,136
鲁山县熊背乡交口村,33
鲁山县梁洼镇西街村,85
鲁山县梁洼镇梁洼街,82
鲁山县梁洼镇南街村,75
鲁山县梁洼镇北街村,34
鲁山县张良镇张良街,127
鲁山县张良镇南北街路西,70
鲁山县张良镇南北街路东,82
鲁山县张官营镇营南村,85
鲁山县张官营镇营东村,53
鲁山县张官营镇张官营街,122
鲁山县库区乡婆娑村,58
鲁山县尧山镇马公店村,34
鲁山县尧山镇想马河村,54
鲁山县尧山镇尧山街,159
鲁山县尧山镇尧山村,45
鲁山县尧山镇大庄村,33
鲁山县尧山镇四道河村,69
鲁山县墨子商场内环,113
鲁山县墨子商场内,37
鲁山县墨公路南段路西,40
鲁山县墨公路南段路东,57
鲁山县墨公路中段路西,59
鲁山县墨公路中段路东,46
鲁山县四棵树乡街西村,37
鲁山县四棵树乡彭庄村,40
鲁山县向阳路南段路西,40
鲁山县向阳路南段路东,63
鲁山县向阳路中段路西,46
鲁山县向阳路中段路东,34
鲁山县北环路中段路北,35
鲁山县仓头乡仓头街,88
鲁山县人民路西段路北,50
鲁山县人民路东段路南,32
